Date,Open,High,Low,Close,Adj Close,Volume
2021-09-03,65.889999,65.980003,65.500000,65.830002,65.222298,838900
2021-09-07,65.790001,66.389999,65.580002,65.599998,64.994415,1488200
2021-09-08,65.599998,65.760002,65.000000,65.019997,64.419769,1120100
2021-09-09,64.980003,65.510002,64.870003,65.190002,64.588203,781200
2021-09-10,65.720001,65.779999,64.839996,64.849998,64.251343,747100
2021-09-13,65.220001,65.480003,64.550003,64.879997,64.281059,1136500
2021-09-14,65.160004,65.250000,64.400002,64.529999,63.934292,1024200
2021-09-15,64.430000,65.389999,64.199997,65.370003,64.766541,1219300
2021-09-16,65.360001,65.709999,64.879997,65.419998,64.816078,935500
2021-09-17,65.250000,65.610001,64.169998,64.650002,64.053192,2377700
2021-09-20,63.490002,63.950001,62.820000,63.869999,63.280388,2598100
2021-09-21,64.209999,64.690002,63.889999,64.089996,63.498352,1686200
2021-09-22,64.440002,64.900002,64.250000,64.379997,63.785675,1088300
2021-09-23,65.000000,65.820000,65.000000,65.730003,65.123222,1183700
2021-09-24,65.510002,65.839996,65.449997,65.769997,65.162842,793800
2021-09-27,66.169998,67.089996,66.099998,67.080002,66.460754,1225600
2021-09-28,67.010002,67.230003,66.360001,66.980003,66.361679,2737000
2021-09-29,67.059998,67.129997,66.559998,66.589996,65.975273,931900
2021-09-30,66.760002,66.900002,65.830002,66.150002,65.539345,1381800
2021-10-01,66.629997,67.849998,66.349998,67.599998,66.975952,1798400
2021-10-04,67.580002,68.269997,67.199997,67.610001,66.985863,1204800
2021-10-05,67.889999,68.669998,67.639999,68.269997,67.639763,3394100
2021-10-06,67.690002,67.970001,67.129997,67.919998,67.292999,1351400
2021-10-07,67.639999,68.129997,67.550003,68.129997,68.129997,3032500
2021-10-08,68.290001,69.300003,68.169998,69.199997,69.199997,1366400
2021-10-11,69.540001,69.760002,68.889999,68.910004,68.910004,631800
2021-10-12,68.970001,69.190002,68.620003,68.739998,68.739998,985800
2021-10-13,68.739998,68.959999,67.849998,68.360001,68.360001,1086600
2021-10-14,68.940002,69.250000,68.660004,69.080002,69.080002,975500
2021-10-15,69.559998,70.349998,69.559998,70.309998,70.309998,1155900
2021-10-18,70.209999,70.709999,70.019997,70.550003,70.550003,1170500
2021-10-19,70.750000,71.739998,70.750000,71.690002,71.690002,1280100
2021-10-20,71.769997,72.320000,71.620003,72.300003,72.300003,887600
2021-10-21,72.360001,72.410004,71.620003,71.709999,71.709999,665500
2021-10-22,71.900002,72.330002,71.800003,72.089996,72.089996,842000
2021-10-25,72.239998,72.400002,71.809998,72.290001,72.290001,917900
2021-10-26,72.410004,73.220001,72.279999,72.870003,72.870003,1244200
2021-10-27,72.650002,73.279999,72.300003,72.599998,72.599998,1501900
2021-10-28,72.779999,73.309998,72.680000,72.699997,72.699997,965500
2021-10-29,72.639999,72.760002,71.830002,72.510002,72.510002,1389400
2021-11-01,72.959999,73.209999,72.709999,73.139999,73.139999,935400
2021-11-02,72.949997,73.360001,72.599998,72.870003,72.870003,951500
2021-11-03,72.680000,73.720001,72.639999,73.550003,73.550003,1357000
2021-11-04,73.459999,73.529999,72.820000,73.260002,73.260002,1313600
2021-11-05,73.510002,73.970001,73.320000,73.480003,73.480003,954500
2021-11-08,73.680000,73.980003,73.349998,73.730003,73.730003,1174400
2021-11-09,73.419998,73.750000,73.129997,73.639999,73.639999,2976500
2021-11-10,73.629997,74.220001,73.629997,73.830002,73.830002,984000
2021-11-11,73.660004,74.029999,73.529999,73.709999,73.709999,773900
2021-11-12,73.790001,74.489998,73.550003,74.440002,74.440002,955300
2021-11-15,74.599998,75.129997,74.360001,74.589996,74.589996,5403000
2021-11-16,74.559998,74.839996,74.180000,74.190002,74.190002,862500
2021-11-17,73.959999,74.250000,73.080002,73.379997,73.379997,1040100
2021-11-18,73.400002,73.410004,73.070000,73.220001,73.220001,786400
2021-11-19,72.779999,72.900002,72.309998,72.629997,72.629997,1465400
2021-11-22,73.720001,73.949997,73.199997,73.220001,73.220001,1550500
2021-11-23,74.120003,75.480003,73.650002,75.190002,75.190002,4975000
2021-11-24,74.889999,75.730003,74.790001,75.620003,75.620003,2008700
2021-11-26,73.750000,74.260002,73.320000,73.949997,73.949997,3099600
2021-11-29,74.550003,74.820000,73.059998,73.370003,73.370003,2248200
2021-11-30,73.010002,73.029999,71.720001,72.059998,72.059998,4510300
2021-12-01,72.440002,73.550003,71.680000,71.730003,71.730003,3303600
2021-12-02,72.989998,75.529999,72.860001,75.320000,75.320000,2558200
2021-12-03,75.459999,75.459999,74.199997,74.430000,74.430000,2001100
2021-12-06,75.160004,75.269997,73.970001,74.019997,74.019997,1775000
2021-12-07,74.529999,75.309998,74.529999,75.040001,75.040001,1641300
2021-12-08,75.370003,75.620003,74.980003,75.489998,75.489998,1522400
2021-12-09,74.830002,75.300003,74.720001,75.050003,75.050003,991600
2021-12-10,75.279999,75.449997,74.809998,74.949997,74.949997,1347300
2021-12-13,74.660004,74.779999,73.889999,74.110001,74.110001,1821800
2021-12-14,73.879997,74.720001,73.584999,73.669998,73.669998,1366079
